type,name,details,information
food,Chicken Breast,"Diet: Non-Vegetarian; Calories: 165 per 100g; Protein: 31g; Carbs: 0g; Fat: 3.6g","High-protein food that can be included in meals for muscle growth."
food,Egg,"Diet: Non-Vegetarian; Calories: 143 per 100g; Protein: 13g; Carbs: 1.1g; Fat: 9.5g","Protein-rich food suitable for many bulking or cutting diets."
food,Paneer,"Diet: Vegetarian; Calories: 265 per 100g; Protein: 18g; Carbs: 6g; Fat: 20g","Protein and calorie-dense vegetarian food useful for bulking."
food,Tofu,"Diet: Vegan; Calories: 76 per 100g; Protein: 8g; Carbs: 1.9g; Fat: 4.8g","Plant-based protein source suitable for vegetarian and vegan diets."
food,Soy Chunks,"Diet: Vegan; Calories: 345 per 100g; Protein: 52g; Carbs: 33g; Fat: 0.5g","High-protein plant-based food useful for increasing protein intake."
food,Milk,"Diet: Vegetarian; Calories: 61 per 100g; Protein: 3.2g; Carbs: 4.8g; Fat: 3.3g","Provides protein, carbohydrates and fats."
food,Oats,"Diet: Vegan; Calories: 389 per 100g; Protein: 16.9g; Carbs: 66.3g; Fat: 6.9g","Carbohydrate-rich food that can be combined with milk, fruit and nuts."
food,Rice,"Diet: Vegan; Calories: 130 per 100g; Protein: 2.7g; Carbs: 28g; Fat: 0.3g","Carbohydrate source that can be included in meals around training."
food,Banana,"Diet: Vegan; Calories: 89 per 100g; Protein: 1.1g; Carbs: 22.8g; Fat: 0.3g","Convenient carbohydrate-rich fruit that can be used as a snack."
food,Peanut Butter,"Diet: Vegetarian; Calories: 588 per 100g; Protein: 25g; Carbs: 20g; Fat: 50g","Energy-dense food that can help increase calorie intake during bulking."
food,Almonds,"Diet: Vegan; Calories: 579 per 100g; Protein: 21g; Carbs: 22g; Fat: 50g","Nutrient-dense food containing protein and healthy fats."
food,Chickpeas,"Diet: Vegan; Calories: 164 per 100g; Protein: 8.9g; Carbs: 27g; Fat: 2.6g","Plant-based source of protein and carbohydrates."
food,Lentils,"Diet: Vegan; Calories: 116 per 100g; Protein: 9g; Carbs: 20g; Fat: 0.4g","Plant-based protein and carbohydrate source."
food,Sweet Potato,"Diet: Vegan; Calories: 86 per 100g; Protein: 1.6g; Carbs: 20.1g; Fat: 0.1g","Carbohydrate-rich food suitable for balanced meals."
food,Broccoli,"Diet: Vegan; Calories: 34 per 100g; Protein: 2.8g; Carbs: 7g; Fat: 0.4g","Low-calorie vegetable providing fiber and micronutrients."
food,Spinach,"Diet: Vegan; Calories: 23 per 100g; Protein: 2.9g; Carbs: 3.6g; Fat: 0.4g","Vegetable containing fiber and micronutrients."
